Text,True_Sentiment,Logistic_Regression_Guess,VADER_Guess
"My family has two cats who are just over a year old.  We usually feed them dry food, but give them the canned stuff once in a while for a treat.  Our large sized male cat LOVES Petite Cuisine, and gobbles it up.  Our dainty little female though, refuses table scraps and won't touch any wet food, including Petite Cuisine.  My kids helped me to take notes on this food as we offered it to both cats.  The same thing happened with every flavor- little cat A sniffed it and walked away, while big fat cat B ate it up as fast as he could! I guess it's all a matter of preference.<br /><br /> I feel good about the fact that this stuff is natural and looks like food.  it is not full of fillers, and it has everything a cat requires for a healthy diet.  The cans are the right size for a single serving for an average to big cat, so there's no messing around with storing half empty cans of fragrant catfood in the fridge.",Positive,Positive,Positive
I have tried a few of the mass market ginger beers and they don't even approach this premium product from across the pond. This has my strongest recommendation.,Positive,Positive,Positive
"The taste is bold, but smooth, good flavor.  Even when used on the large cup brew (10oz), it still has a great taste, not watered down.  I plan on purchasing this again.",Positive,Positive,Positive
"This is the best K-cup coffee I have found yet.  The Pike Place is a close second, but the Sumatra holds up well to a larger cup (either the mug or large mug size).  If you're using a travel mug, stick with the dark roasts.  Wish it came in decaf - I love my Keurig, but I can handle only so much caffeine!<br />Also, I have found the Starbucks K-cups disassemble easily (more so than some of the other brands), the foil removes very cleanly, you can compost the grounds and paper filter, and recycle the plastic.",Positive,Positive,Positive
"When it comes to a body wash, I want something that's going to leave me clean and smelling better than I did when I took a shower.  But I don't want it to be so overpowering that other people flee the room when I enter.  I also want something that's on the masculine side of things and isn't overly floral.<br /><br />Enter the Dove Care for Men series.  I figured I'd give it a try and see how it works.<br /><br />So far, it's pretty good.  I swim laps a couple of times a week in a heavily chlorinated indoor pool.  So my first expectation is that the body wash would help remove that feeling of dryness and general chlorine-ness that can sometimes occur.  And it did that.<br /><br />The good thing is the dispenser on the top is large enough to get out enough but not so big that you're getting a ton more of the body wash then you need.  It allows for a greater degree of control and to use as little or as much as you need.  (I tend to err on the side of starting out with too little and getting more as needed rather than having too much).<br /><br />As for the scent, it's fairly subdued and not overpowering.<br /><br />A nice combination.",Positive,Positive,Positive
"OK, I'm from Buffalo so if you're going to sell a Buffalo Wing Pretzel, it better be good.<br /><br />Let me be honest, this is no substitute for an Anchor Bar wing, but as for a Buffalo Wing Pretzel, it's not bad. The pretzel pieces are mostly smallish, crunchy bites. A few larger pieces sneak in once in a while but mostly these are smallish nuggets with a pretty tasty and spicy, Buffalo Wing-ish taste.<br /><br />They're kind of addicting if you like the taste, and I do.",Positive,Positive,Positive
"My dog is an 11 year old pitbull and has had a sensitive stomach, reoccurring chronic ear infections, and was always licking her paws since she was a puppy. She would get up to walk around and immediately throw up for no reason. This would happen sometimes several times a day. Her symptoms were similar to acid reflux in people.I took her to 3 different vets for these issues separately (never realizing they could all be connected). She was on nausea medications, antibiotics for her ears, and several different ear washes. Nothing completely cured any of her issues. After doing a lot of research, i came across Wellness white fish and sweet potato and couldn't be happier. Over a 10 day period, i slowly changed over her food from the Iams i had been feeding her. It has now been about 3 months and she is a completely different dog. Since fully switching over to this food, she hasn't thrown up once and she is no longer scratching at her ears. She has more energy and always wants to play. I no longer have to coax her into eating by mixing in wet food with the Iams. She wags her tail when she sees me filling her bowl now and eats right away. She even licks the bowl when she is done and looks at me for more. If your dog has any of the same symptoms my dog had, you should definitely give this food a try. It might not be a fix for every dog but it doesnt hurt to try. It worked for my dog!",Positive,Positive,Positive
"I have loved coffee nearly all my life and really only drink GOOD coffee. That being said, when I tried WICKED WOLF at my brother's house in Alaska, I was hooked. Converted really. I have not been the same since. I now must have my Wicked Wolf! It is the very best coffee I have ever had and I've had a lot! Oh, and I absolutely love the packaging...hehe Ray Troll rocks! I'm stoked Amazon is carrying Raven's Brew!",Positive,Positive,Positive
"I recently did a week-long cleanse and these crackers were recommended as a snack.  I was skeptical and they are definitely on the expensive side for a case of crackers but I was pleasantly surprised to see that you get a LOT.  So it's a good thing that they taste pretty delicious.  They're nutty and a little... malty if that makes sense.  They are thin and seedy and very, very crunchy.  I thought this brand of crackers would be similar to the Doctor Kracker brand, which are VERY delicious, but probably just a bit less healthy than these.  However, these crackers are very different: thin and round and somewhat shiny in appearance, and almost more like a tortilla chip in texture.  I've tried them with hummus and guacamole, and I think they'd also go really well with salsas, cheeses, olive tapenade, and just about any dip.<br />It's a good thing I like them because I'm going to be eating them for a lonnnggg time... it's a LOT of crackers.  If you are less sure, you may want to buy a single box before committing to a case!",Positive,Positive,Positive
"Being half-Cuban, I had heard of Iron Beer before, but I had never actually had a chance to try it. Unlike Materva, which is relatively easy to get (even in South Carolina), I've never so much as seen Iron Beer on a shelf here. I went ahead and took the plunge, ordering it online, and was ever-so-pleasantly surprised. It definitely reminds me of a mix of cream soda and orange soda (another reviewer said it tasted like orange dreamsicle, which is pretty dead-on actually), but somehow it manages to be a lot more than the sum of its parts...maybe it's that ""hint of island spices."" Highly recommended for those who want something new, or those who simply want a taste of home.",Positive,Positive,Positive
Easy for on the go. I've been wanting to try it but it's a little pricey for instant coffee. I bought it here because there was a special so it was a good time to try it.,Positive,Positive,Positive
"We've tried most of the shapes of this pasta, and we really enjoy it.  We initially purchased it because of my daughter's wheat, egg and soy allergies, but we would eat it now even if she outgrows her allergies.",Positive,Positive,Positive
"the natural truffles have an unsweetened coaco powder on the outside with a nice smooth texture.  this is not to sweet more of a european style candy, wonderful.",Positive,Positive,Positive
"We have a 70 lbs lab mix and have been using the Merrick brand for a while. I just came across the Whole Earth Farms type and decided to try it. Our dog never had any food allergies and has never been particularly picky about what he eats and seems to like the taste of this. We tend to add a little bit of warm water to the dry food, which creates a nice mix. This seems to be good quality food at a very good price. Love the fact that I can order this via Amazon Prime and have it delivered in 2 days!",Positive,Positive,Positive
"These are so yummy....large, fresh roasted flavor, just a touch of sea salt....must have eaten half of the first bag upon opening... ...may have to place an extra order...I am definiately on autoship!",Positive,Positive,Positive
"Not only are the Redskins real Redskins and not little peanuts with their coats on, the service is incredible...  I mentioned a slight shipping issue when initially reviewing, and they sent me a complimentary 40 oz can...<br /><br />  I cannot recommend them HIGHLY enough.<br /><br />Thank you very much,<br /><br />Bill Condon",Positive,Positive,Positive
"I ordered regular Calm, and received Calm Plus Calcium.  These are different products. They sent the wrong product, but made good on their advertising by paying for return postage and sending the right product.  My daughter swears by this product's health claims.",Positive,Negative,Positive
"These jars of olives arrived very efficiently and effectively packed.  They are delicious--and both the flavor and texture are commendable.  The caper-stuffed are unusual--innovatively combining two of my favorite things.  The onion-stuffed compare very well with other brands, as do the martini olives.  I have already reordered!",Positive,Positive,Positive
"I like this coffee, its nice to drink it in the morning. It has medium body and full flavour. Goes great with raw sugar and splash of non fat milk.",Positive,Positive,Positive
"I've been drinking Stash brand Decaf Earl Grey Tea for years now. Very few stores in my area carry this brand, so I decided to order it from Amazon. I think this is the best decaf earl grey out there. It has just the right amount of bergamot oil, and is more flavorful than most other brands of decaf earl grey I've tried.",Positive,Positive,Positive
"This product may help with your blood sugar but I really did not like the taste .  I tried the Chocolate Peanut Butter, Peanut Butter, Apple Cinamon and their Berry flavor. Did not like any of them!",Negative,Positive,Negative
"These sugar-free caramels are indeed delicious (and deserve 5 stars for taste), but a price hike at Amazon from $53.42 to $87.00 in a little over 2 months is more than I can stomach.  I'll buy them somewhere else.",Neutral,Positive,Positive
"This protein is great quality for the value(around 55bucks for 80 or so servings). Aside from that, the taste is great and it is easy to mix with a spoon and some cold water. I would definately buy this again.",Positive,Positive,Positive
This was a great buy for the Keurig K-cups! The packaging was thrills-free and green. The flavor of this coffee is good and doesn't get that watered down effect that some k-cups give. I would order this package again.,Positive,Positive,Positive
This jerky is very very bad. Its so salty that u can't actually taste the jerky. The meat seems to be very rubbery with no taste whatsoever.,Negative,Negative,Negative
"I watch a 2 year old, and this is her favorite snack! I admit, I was skeptic.  It honestly doesn't SOUND appealing, but they taste surprisingly good!  I have had it as a snack a time or two, as has my 6 year old.  I cannot wait to try other varieties!",Positive,Positive,Positive
"These cookies make a great snack,or a light treat instead of dessert. It is a fun gift to give, the size and the animal crackers always bring a big smile.",Positive,Positive,Positive
I enjoyed the flavor of the tea not too over powering. The item arrived very quikly. Definitely would order again.,Positive,Positive,Positive
"I bought this because I'm grasping at straws. I was diagnosed with CLL (leukemia) in the latter half of 2010. Everyone that cares had all sorts of remedies to recommend. This was one of them. It, along with the other homeopathic remedies has done nothing to arrest the condition. My counts continue to rise (into abnormal range). Will it work for you? Some swear by this product as helpful. My suggestion: Buy three bottles. Take the recommended dosage ""religiously"" on a daily basis until you have completely depleted the supply. Have monthly blood tests. If you notice an improvement, bravo. If you don't, then you are only out about $20. Is your life worth that? I hope so.<br /><br />Update October 20, 2011: I finished all the product I had purchased and reordered 3 more boxes. I still have not realized any improvement, in fact, my last blood test came back the highest (worst) it has ever been, by a considerable leap. Still it is the ONLY thing I am doing with any consistency and it gives my wife a sense that I am not giving up on myself. However, personally, my results cannot testify in favor of this product.",Negative,Positive,Positive
"These crepes are handy if you don't have the time, inclination or know how to make them yourself.  They come in handy and the seller is dandy, but the crepes don't taste great or even that ""good.""  Use in a pinch only!",Neutral,Positive,Negative
"I had been searching far and wide for canned pumpkin, but to no avail until I came across this product.  Until finding it on Amazon, I had never heard of this brand before.  After reading some of the reviews, I was hesitant, but I love pumpkin, so I placed my order.<br /><br />The items came in less than a week (I ordered right before the Memorial Day holiday weekend).  Every can but one (which had the slightest dent) was in excellent condition.  The cans were packed in a cardboard tray, shrink wrapped and then bubble wrapped before being boxed for shipping.<br /><br />The taste is just right to me -- pumpkin, not too light or too strong.  The consistency is not too thin or too thick, but again, just right. The quality is comparable to (if not better than) its brand name competitor.  The product is organic pumpkin, period.<br /><br />My compliments and gratitude to Farmer's Market Foods. This was my first experience with this product, but I assure you, it will not be my last!",Positive,Positive,Positive
